,TagName,Designation,DesignationStrength
154,lstm,Unknown,1434
155,max-pooling,Unknown,28
156,neural-network,Unknown,8605
157,pytorch,Unknown,551
158,recurrent-neural-network,Unknown,869
159,resnet,Unknown,102
160,rnn,Unknown,408
161,sequence-to-sequence,Unknown,70
162,tensor,Unknown,296
163,tensorboard,Unknown,718
164,tensorflow,Unknown,20993
165,tensorflow-gpu,Unknown,487
166,tensorflow-slim,Unknown,52
167,torch,Unknown,684
